DB,Title,Authors (separate with//),Year,Language,Script,Lang_geneticprox,Prox_cat,No_nativespeakers,LangFamily,Journal,JournalCountry,StudyDesign,StudyDesign_cat,Region,Relative_no_studiesTA,Category,IUCN,TorNT,English_Abstract,Trans_Abs,Tot_Citations,Tot_crosslang_cit,Tot_crosslang_exclEng,Tot_samelang_cit,PerEng,PerSameLangCit,PerCrossLangCit,No_Langs_Cited,SelfCitations,English,French,Dutch,Russian,Spanish,German,Slovac,Polish,Portugese,Slovenian,Italian,Catalan,Hungarian,Korean,Japanese,Norwegian,Simplified Chinese,Traditional Chinese,Swedish,Danish,Persian,Ukranian,Czech,Finnish,Turkish,Thai,Estonian,Croatian,Icelandic,Latvian,Bulgarian,Lithuanian,Hebrew,Indonesian,Hindi,Bosnian,Greek
NEL,"The importance of vegetation in the use of mud
flats by waders",Patrick TRIPLET // Cédric FAGOT // Sarah VAN IMBECK // Arnaud SOURNIA // Francois SUEUR,2002,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,RCT,More complex,Picardie/France,2290,Birds,Least Concern,Not Threatened,Yes,NA,3,1,0,2,0.33,0.67,0.33,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Audouin's Gull at Aspretto-Ajaccio (Corsica): management to maintain the species on a man-made site,Bernard RECORBET // Arnaud LE DRU,2002,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,After,Less complex,Ajaccio/Corsica,2290,Birds,Vulnerable,Threatened,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Very high densities of Middle Spotted
Woodpecker Dendrocopos medius in mature
timber forest in the Allier (central France): a
result of anthropic modifications of woodlands",FRANCOIS LOVATY,2002,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,CI,Less complex,Allier/France,2290,Birds,Least Concern,Not Threatened,Yes,NA,9,7,3,2,0.44,0.22,0.78,5,0,4,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Large scale planning and avifauna, the specific
case of quarrying.",PATRICK LECOMTE,2002,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,After,Less complex,17 sites in France,2290,Birds,Least Concern,Not Threatened,NA,NA,3,0,0,3,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Little Bustard Tetrax tetrax in France: recent population
changes, impact of conservation measures
and outlook for the species.",CHRISTOPHE JOLIVET // VINCENT BRETAGNOLLE,2002,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,CI,Less complex,"Indre, Anjou, Deux-S?vres, Charente-Maritime, Charente, Gard/France",2290,Birds,Near Threatened,Not Threatened,Yes,NA,37,27,5,10,0.59,0.27,0.73,4,10,22,10,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,White Stork in Normandy in the 20* century,Alain Chartier,2001,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Alauda,France,BA,Less complex,Normandy/France,2290,Birds,Least Concern,Not Threatened,NA,NA,4,3,0,1,0.75,0.25,0.75,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Movements of Alpine Ibex from the alps, in the first twelve months, after they release in the parks of the Ecrins, Mercantour and Vercors",Tron/Terrier/Colombini/Bret,1994,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Travaux scientifiques du Parc national de la Vanoise,France,After,Less complex,"Vanoise, France",2290,Mammals,Least Concern,Not Threatened,No,NA,8,8,0,0,1,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Restoration of plant communities after eradication
of Carpobrotus sp., within the ecological restoration program of Bagaud Island (Port-Cros National Park, France): results 5 years after eradication ","Elise BUISSON // Annie ABOUCAYA // Laurence AFFRE //
Julie BRASCHI // Julie CHENOT // S?bastien DAILLY // Manon HESS //
Aur?lie PASSETTI // Daniel PAVON // Herv? RAMONE //
Christel VIDALLER // Elise KREBS-AMY",2018,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Travaux Scientifiques du Parc National de Port-Cros,France,BACI,More complex,"Bagaud island (Hyere archipelago), France",2290,Mammals,Least Concern,Not Threatened,Yes,NA,2,1,0,1,0.5,0.5,0.5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Consequences of black rat (Rattus rattus) and Carpobrotus spp. simultaneous eradication on flying insect communities, within the ecological restoration program of Bagaud island (Port-Cros National Park, France): preliminary results",Julie BRASCHI // Micka?l CACERES // Ninon DELCOURT // Florian TOURNIER // Philippe PONEL,2017,French,Latin,46.9,Related,"310,000,000",Indo-European Italic,Travaux Scientifiques du Parc National de Port-Cros,France,BA,Less complex,"Bagaud island (Hyere archipelago), France",2290,Mammals,Least Concern,Not Threatened,Yes,NA,6,2,0,4,0.33,0.67,0.33,2,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,A Contribution to the study of waterbirds in Syrian coast,Basima Alcheikh,2013,Arabic,Arabic,85.5,No recognizable relationship,"274,000,000",Afro-Asiatic ,Tishreen University Journal for Research and Scientific Studies - Biological Sciences Series,Syria,After,Less complex,Syria,NA,Birds,Least Concern,Not Threatened,Yes,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,The development of the 'Meißendorfer Teiche/Bannetzer Moor' large-scale conservation project in the district of Celle (Lower Saxony) since 1979,Clausnitzer//B?hring//Langbehn//Ortmann//Rufert//Thiess,2004,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,BA,Less complex,Niedersachsen / Germany,601,Birds,Least Concern,Not Threatened,NA,NA,5,0,0,5,0,1,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,A field trial of measures to prevent bird strikes on transparent noise protection walls,Schmid//Sierro,2000,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,CI,Less complex,Brig / Wallis / Switzerland,601,Birds,Least Concern,Not Threatened,No,NA,9,3,0,6,0.33,0.67,0.33,2,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,The effects of the suspension of fishing upon breeding birds in the southern part of an arm of the river Rhine at Bienen-Praest,Sudmann//Ditselrath//C. Meyer//Bernert,1996,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,BA,Less complex,Kleve / Nordrhein-Westfahlen / Germany,601,Birds,Least Concern,Not Threatened,NA,NA,4,2,0,2,0.5,0.5,0.5,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Results of voluntary hedge plantations in the 'Münsterland',
North Rhine-Westphalia, Germany
",Starkmann//Tenbergen,1994,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,BA,Less complex,Münster/ Nordrhein-Westfahlen / Germany,601,Birds,Least Concern,Not Threatened,NA,NA,5,2,0,3,0.4,0.6,0.4,2,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"The colonization of newly planted hedge-like woodlots in an intensely cultivated Iandscape, a zooecological long-term investigation a project
supported by the German government
",Gruttke//Willecke,1993,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,BA,Less complex,Euskirchen / Nordrhein-Westfahlen / Germany,601,Birds,Least Concern,Not Threatened,NA,NA,9,4,1,5,0.33,0.56,0.44,3,1,3,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Creating new habitats an intensively used farmland, the ?Pappelhof"" in Saarland ? a project supported by the German government",Reck,1993,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,BA,Less complex,Wiebelskirchen / Saarland / Germany,601,Birds,Least Concern,Not Threatened,NA,NA,3,1,0,2,0.33,0.67,0.33,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Complex species conservation by means of extensive agriculture within the scope of the 'Great Bustard protection project',Block//Block//Jaschke//Litzbarski//Litzbarski//Petrick,1993,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,BA,Less complex,Nennhasuen / Brandenburg / Germany,601,Birds,Vulnerable,Threatened,NA,NA,10,4,2,6,0.2,0.6,0.4,4,0,2,1,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Exponential or Logistic Growth of Cormorant Populations? Results of a Long-term Study at a Gravel Pit in the Northern Rhine Valley,Putzer//Knebel//Pieren//Wagner,2003,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Naturschutz und Landschaftsplanung,Germany,After,Less complex,Mettmann/Düsseldorf/Germany,601,Birds,Least Concern,Not Threatened,No,NA,2,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,New Primary Habitats Through River Restoration? - Development of Selected Bird Species After Re-introduction of Dynamic Processes along Main River,Metzner//von He?berg//V?lkl,2003,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Naturschutz und Landschaftsplanung,Germany,After,Less complex,"Bamberg, Lichtenfels / Bayern / Germany",601,Birds,Least Concern,Not Threatened,Yes,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Influence of Organic Field Cultivation on the Skylark - Investigations in two areas in Schleswig-Holstein,Neumann//Koop,2004,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Naturschutz und Landschaftsplanung,Germany,BA,Less complex,"Ritzerau, Noer / Schleswig-Holstein / Germany",601,Birds,Least Concern,Not Threatened,Yes,NA,12,2,1,10,0.08,0.83,0.17,3,0,1,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Effectiveness of Bird Deflectors at High-Voltage Energy Lines - Case Studies and Implications to Minimise Risk of Collision,Bernshausen//Kreuziger//Richarz//Sudmann,2014,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Naturschutz und Landschaftsplanung,Germany,BA,Less complex,"Unteren Niederrhein / Nordrhein-Westfalen / Germany
Alfsee /Niedersachsen / Germany 
Lippeaue / Nordrhein-Westfalen / Germany",601,Birds,Least Concern,Not Threatened,Yes,NA,19,0,0,19,0,1,0,1,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,The ?Rothenbuch concept of dead wood and habitat treesÅg and its effects on the diversity of structures and biodiversity of beech-forests,Bußler//Blaschke//Dorka//Loy//Strätz,2007,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Waldoekologie online,Germany ,CI,Less complex,Hochspessart / Bayern / Germany,601,Birds,Least Concern,Not Threatened,Yes,NA,14,2,0,12,0.14,0.86,0.14,2,2,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Are nature reserves an effective instrument for the protection of species? An assessement after a 26
years period in two nature reserves in Southwest Germany.",Schuster//Peintinger,1994,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Journal f?r Ornithologie,Germany,After,Less complex,Baden-Wiirttemberg,601,Birds,Least Concern,Not Threatened,Yes,NA,6,0,0,6,0,1,0,1,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Aid for Montagu's harrier, skylark and others - About the effectiveness of 'contact conservation' for the breeding birds in the Hellwegbörde",Joest ,2009,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,ABU info,Germany,CI,Less complex,"Westphalian Lowland, Germany",601,Birds,Least Concern,Not Threatened,No,NA,4,0,0,4,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Experiments in colonizing the Kingfisher (Alcedoatthis) and observation on its breeding biology.,Zöller,1975,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Orn. Anz. ,Germany,BA,Less complex,"Baden-W?rttemberg, Germany",601,Birds,Least Concern,Not Threatened,No,NA,2,2,2,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,The significance of supplem entary feeding for the reintroduction of Ural Owls Strix uralensis,Stürzer,1999,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Orn. Anz. ,Germany,BA,Less complex,"Bavarian Forest National Park, Germany",601,Birds,Least Concern,Not Threatened,NA,NA,3,1,0,2,0.33,0.67,0.33,2,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,The development of a local population of the Common Sandpiper Actitis hypoleucos on the Upper Main River afte river restoration: The impact of flooding processes,Metzner,2002,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Orn. Anz. ,Germany,After,Less complex,"Upper Franconia, Germany",601,Birds,Least Concern,Not Threatened,Yes,NA,8,1,0,7,0.13,0.88,0.13,2,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Attempts to reintroduce the White Stork Ciconia ciconia as a breeding bird in Switzerland, 1948-1979",Bloesch,1980,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Ornithol. Beob.,Switzerland,BA,Less complex,"Altreu, Switzerland",601,Birds,Least Concern,Not Threatened,NA,NA,21,12,4,9,0.38,0.43,0.57,5,0,8,1,0,2,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,The significance of wildlife overpasses for birds,Keller//Bauer//Ley//Pfister,1996,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Ornithol. Beob.,Switzerland,CI,Less complex,Highway between France and Germany,601,Birds,Least Concern,Not Threatened,Yes,NA,12,8,3,4,0.42,0.33,0.67,4,0,5,0,2,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,The project on the reintroduction of the Bearded Vulture in the Alps is 25 years old: an overview ,Roin//M?ller//Pachlatko//Buchli,2004,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Ornithol. Beob.,Switzerland,After,Less complex,Switzerland,601,Birds,Near Threatened,Not Threatened,NA,NA,15,10,0,5,0.67,0.33,0.67,2,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Use of artificial nest sites by Common Kingfishers Alcedo atthis, and consequences for their construction",Wechsler,2007,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Ornithol. Beob.,Switzerland,BA,Less complex,Northeastern Switzerland and Liechtenstein,601,Birds,Least Concern,Not Threatened,Yes,NA,5,3,1,2,0.4,0.4,0.6,3,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Nest protection from agriculture and predation to improve nest and chick survival of the Northern Lapwing Vanellus vanellus in Swiss farmland,Schifferli//Rickenbach//Koller//Gr?ebler,2009,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Ornithol. Beob.,Switzerland,BA,Less complex,"Wauwil, Switzerland",601,Birds,Near Threatened,Not Threatened,Yes,NA,19,8,2,11,0.32,0.58,0.42,4,2,6,1,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Effect of bird refuges on the Greifensee (canton of Zurich) on the breeding behaviour of Great Crested Grebe Podiceps cristatus, the breeding population of birds in reedbeds and waterbirds in winter",Weggler//Merques//Schwazenbach//Widmer,2011,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Ornithol. Beob.,Switzerland,BA,Less complex,"Greifensee, Switzerland",601,Birds,Least Concern,Not Threatened,Yes,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Cattail production - a chance for species diversity?,Graf,2014,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Ornithol. Beob.,Switzerland,CI,Less complex,"Sch?tz, Switzerland",601,Birds,Least Concern,Not Threatened,Yes,NA,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Testing and developing approaches by which to optimise the conservation outcomes of organic farming, and formulation of practical recommendations.",Stein-Bachinger//Fuchs//Gottwald,2010,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,CI,Less complex,"Schorfheide-Chorin Biosphere Reserve, Germany",601,Birds,Least Concern,Not Threatened,No,NA,4,0,0,4,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Regeneration measures whitin the 'Presseler Heidewald- und Moorgebiet' large-scale conservation project.,Stegner//Huth//Kr?nert,2013,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,BA,Less complex,"Presseler Heidewald- und Moorgebiet, Germany",601,Birds,Least Concern,Not Threatened,No,NA,2,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Evaluation of the concluded 'Ochsenmoor' large-scale conservation project in Diepholz, Lower Saxony",Bl?ml//Melter//Schweiger,2014,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,BA,Less complex,"Diepholz, Germany",601,Birds,Least Concern,Not Threatened,Yes,NA,2,0,0,2,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Restoration of sub-continental sand ecosystems - Which conservation goals can we achieve by low-intensity grazing management with large herbivores?,Lorenz//Seifert//Osterloh//Tischew,2016,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Natur und Landschaft,Germany,CI,Less complex,"Oranienbaumer Heide, Germany",601,Birds,Least Concern,Not Threatened,NA,NA,10,4,0,6,0.4,0.6,0.4,2,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,"Waters and meadows for Aquatic Warblers - Conservation in the Lower Oder Valley National Park, Brandenburg",Bellebaum//Tanneberger,2016,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Naturschutz und Landschaftsplanung,Germany,BA,Less complex,"Nationalpark Unteres Odertal, Germany",601,Birds,Vulnerable,Threatened,No,NA,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEL,Impact of introducing large-scale extensive grazig on the breeding bird community in a valley in Northern Germany,Neumann//Holsten,2009,German,Latin,31.3,Related,"133,000,000",Indo-European Germanic,Die Vogelwelt,Germany,CI,Less complex,"Kiel, Germany",601,Birds,Least Concern,Not Threatened,NA,NA,3,0,0,3,0,1,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
